Product_Variant_ID,Product_ID,Variant_Title,Product_Handle,Product_Title_HE,Product_Available,Variant_Available,Time_Dimension,qty_sold_total,Type
8018935054621_שחור,8018935054621,שחור,ag3-placard-triple-mag-pouch,AG3™ - 5.56 פונדת מחסניות סקוטש,True,True,Saturday,0.0,Weekday
8018935054621_שחור,8018935054621,שחור,ag3-placard-triple-mag-pouch,AG3™ - 5.56 פונדת מחסניות סקוטש,True,True,Sunday,1.0,Weekday
8018935054621_שחור,8018935054621,שחור,ag3-placard-triple-mag-pouch,AG3™ - 5.56 פונדת מחסניות סקוטש,True,True,Thursday,0.0,Weekday
8018935054621_שחור,8018935054621,שחור,ag3-placard-triple-mag-pouch,AG3™ - 5.56 פונדת מחסניות סקוטש,True,True,Tuesday,0.0,Weekday
8018935054621_שחור,8018935054621,שחור,ag3-placard-triple-mag-pouch,AG3™ - 5.56 פונדת מחסניות סקוטש,True,True,Wednesday,0.0,Weekday
8018935152925_חום,8018935152925,חום,buddystrap-injured-person-carrier,BuddyStrap™ - מערכת נשיאת פצוע,True,False,Friday,0.0,Weekday
8018935152925_חום,8018935152925,חום,buddystrap-injured-person-carrier,BuddyStrap™ - מערכת נשיאת פצוע,True,False,Monday,0.0,Weekday
8018935152925_חום,8018935152925,חום,buddystrap-injured-person-carrier,BuddyStrap™ - מערכת נשיאת פצוע,True,False,Saturday,0.0,Weekday
8018935152925_חום,8018935152925,חום,buddystrap-injured-person-carrier,BuddyStrap™ - מערכת נשיאת פצוע,True,False,Sunday,0.0,Weekday
8018935152925_חום,8018935152925,חום,buddystrap-injured-person-carrier,BuddyStrap™ - מערכת נשיאת פצוע,True,False,Thursday,0.0,Weekday
8018935152925_חום,8018935152925,חום,buddystrap-injured-person-carrier,BuddyStrap™ - מערכת נשיאת פצוע,True,False,Tuesday,0.0,Weekday
8018935152925_חום,8018935152925,חום,buddystrap-injured-person-carrier,BuddyStrap™ - מערכת נשיאת פצוע,True,False,Wednesday,0.0,Weekday
8018935152925_ירוק ריינג'ר,8018935152925,ירוק ריינג'ר,buddystrap-injured-person-carrier,BuddyStrap™ - מערכת נשיאת פצוע,True,True,Friday,0.0,Weekday
8018935152925_ירוק ריינג'ר,8018935152925,ירוק ריינג'ר,buddystrap-injured-person-carrier,BuddyStrap™ - מערכת נשיאת פצוע,True,True,Monday,0.0,Weekday
8018935152925_ירוק ריינג'ר,8018935152925,ירוק ריינג'ר,buddystrap-injured-person-carrier,BuddyStrap™ - מערכת נשיאת פצוע,True,True,Saturday,0.0,Weekday
8018935152925_ירוק ריינג'ר,8018935152925,ירוק ריינג'ר,buddystrap-injured-person-carrier,BuddyStrap™ - מערכת נשיאת פצוע,True,True,Sunday,0.0,Weekday
8018935152925_ירוק ריינג'ר,8018935152925,ירוק ריינג'ר,buddystrap-injured-person-carrier,BuddyStrap™ - מערכת נשיאת פצוע,True,True,Thursday,0.0,Weekday
8018935152925_ירוק ריינג'ר,8018935152925,ירוק ריינג'ר,buddystrap-injured-person-carrier,BuddyStrap™ - מערכת נשיאת פצוע,True,True,Tuesday,0.0,Weekday
8018935152925_ירוק ריינג'ר,8018935152925,ירוק ריינג'ר,buddystrap-injured-person-carrier,BuddyStrap™ - מערכת נשיאת פצוע,True,True,Wednesday,1.0,Weekday
8018935152925_שחור,8018935152925,שחור,buddystrap-injured-person-carrier,BuddyStrap™ - מערכת נשיאת פצוע,True,True,Friday,0.0,Weekday
8018935152925_שחור,8018935152925,שחור,buddystrap-injured-person-carrier,BuddyStrap™ - מערכת נשיאת פצוע,True,True,Monday,0.0,Weekday
8018935152925_שחור,8018935152925,שחור,buddystrap-injured-person-carrier,BuddyStrap™ - מערכת נשיאת פצוע,True,True,Saturday,0.0,Weekday
