Product_Page,Product_Handle,Product_Title_HE,Product_ID,Product_Available,Price_Max,Price_Min,Published_At,Tags,Variant_Title,Variant_Available,Variant_Qty,Variant_Price,Variant_Currency,Published_Date,Published_Time,Tags_List
https://agilite.co.il/products/ir-us-flag-patch,ir-us-flag-patch,IR פאץ' דגל אמריקאי ,8018939937053,False,57.9,57.9,2022-11-27 13:46:11+02:00,"accessories, apparel, everything, patches, SaleIL",הפוך,False,0,57.9,ILS,2022-11-27,13:46:11,"['accessories', 'apparel', 'everything', 'patches', 'SaleIL']"
https://agilite.co.il/products/israeli-flag-patch-od-green,israeli-flag-patch-od-green,פאץ' דגל ישראל,8018938626333,True,23.9,23.9,2022-11-27 13:43:42+02:00,,Default Title,True,250,23.9,ILS,2022-11-27,13:43:42,['']
https://agilite.co.il/products/jump-retention-tabs,jump-retention-tabs,לשוניות אחזקה למחסנית,8018935939357,True,79.0,79.0,2022-11-27 13:39:41+02:00,"Combat Gear, newone, Plate Carriers \u0026 Packs, SaleIL",מדברי,True,2,79.0,ILS,2022-11-27,13:39:41,"['Combat Gear', 'newone', 'Plate Carriers \\u0026 Packs', 'SaleIL']"
https://agilite.co.il/products/jump-retention-tabs,jump-retention-tabs,לשוניות אחזקה למחסנית,8018935939357,True,79.0,79.0,2022-11-27 13:39:41+02:00,"Combat Gear, newone, Plate Carriers \u0026 Packs, SaleIL",ירוק ריינג'ר,True,81,79.0,ILS,2022-11-27,13:39:41,"['Combat Gear', 'newone', 'Plate Carriers \\u0026 Packs', 'SaleIL']"
https://agilite.co.il/products/jump-retention-tabs,jump-retention-tabs,לשוניות אחזקה למחסנית,8018935939357,True,79.0,79.0,2022-11-27 13:39:41+02:00,"Combat Gear, newone, Plate Carriers \u0026 Packs, SaleIL",שחור,True,18,79.0,ILS,2022-11-27,13:39:41,"['Combat Gear', 'newone', 'Plate Carriers \\u0026 Packs', 'SaleIL']"
https://agilite.co.il/products/k19-plate-carrier-3-0-hesco-3110-level-iii-side-plates,k19-plate-carrier-3-0-hesco-3110-level-iii-side-plates,חבילת קרמון K-19™  3.0 + פלטות צד קרמיות רמה שלוש - HESCO 3110 LVL III,9849669812509,True,3098.0,2779.0,2025-05-20 15:54:53+03:00,,ירוק ריינג'ר / ירוק ריינג'ר,True,159,2779.0,ILS,2025-05-20,15:54:53,['']
https://agilite.co.il/products/k19-plate-carrier-3-0-hesco-3110-level-iii-side-plates,k19-plate-carrier-3-0-hesco-3110-level-iii-side-plates,חבילת קרמון K-19™  3.0 + פלטות צד קרמיות רמה שלוש - HESCO 3110 LVL III,9849669812509,True,3098.0,2779.0,2025-05-20 15:54:53+03:00,,ירוק ריינג'ר / Black,True,2,3098.0,ILS,2025-05-20,15:54:53,['']
https://agilite.co.il/products/k19-plate-carrier-3-0-hesco-3110-level-iii-side-plates,k19-plate-carrier-3-0-hesco-3110-level-iii-side-plates,חבילת קרמון K-19™  3.0 + פלטות צד קרמיות רמה שלוש - HESCO 3110 LVL III,9849669812509,True,3098.0,2779.0,2025-05-20 15:54:53+03:00,,שחור / ירוק ריינג'ר,True,22,2779.0,ILS,2025-05-20,15:54:53,['']
https://agilite.co.il/products/k19-plate-carrier-3-0-hesco-3110-level-iii-side-plates,k19-plate-carrier-3-0-hesco-3110-level-iii-side-plates,חבילת קרמון K-19™  3.0 + פלטות צד קרמיות רמה שלוש - HESCO 3110 LVL III,9849669812509,True,3098.0,2779.0,2025-05-20 15:54:53+03:00,,שחור / Black,True,2,3098.0,ILS,2025-05-20,15:54:53,['']
https://agilite.co.il/products/k-zero-bundle,k-zero-bundle,חבילת קרמון  ™K-Zero מזווד ,9275738718493,True,1764.0,1764.0,2024-05-12 18:38:17+03:00,SaleIL,מדיום,True,113,1764.0,ILS,2024-05-12,18:38:17,['SaleIL']
